GEOID,NAME,variable,estimate,moe,summary_est,summary_moe
0651182,"Newport Beach city, California",B03002_001,86793,53,86793,53
0651182,"Newport Beach city, California",B03002_002,79878,760,86793,53
0651182,"Newport Beach city, California",B03002_003,70471,1097,86793,53
0651182,"Newport Beach city, California",B03002_004,536,267,86793,53
0651182,"Newport Beach city, California",B03002_005,166,115,86793,53
0651182,"Newport Beach city, California",B03002_006,6604,698,86793,53
0651182,"Newport Beach city, California",B03002_007,93,80,86793,53
0651182,"Newport Beach city, California",B03002_008,122,88,86793,53
0651182,"Newport Beach city, California",B03002_009,1886,436,86793,53
0651182,"Newport Beach city, California",B03002_010,18,27,86793,53
0651182,"Newport Beach city, California",B03002_011,1868,438,86793,53
0651182,"Newport Beach city, California",B03002_012,6915,762,86793,53
0651182,"Newport Beach city, California",B03002_013,4447,627,86793,53
0651182,"Newport Beach city, California",B03002_014,11,16,86793,53
0651182,"Newport Beach city, California",B03002_015,38,42,86793,53
0651182,"Newport Beach city, California",B03002_016,71,59,86793,53
0651182,"Newport Beach city, California",B03002_017,19,32,86793,53
0651182,"Newport Beach city, California",B03002_018,1575,601,86793,53
0651182,"Newport Beach city, California",B03002_019,754,292,86793,53
0651182,"Newport Beach city, California",B03002_020,441,249,86793,53
0651182,"Newport Beach city, California",B03002_021,313,178,86793,53
